name,color,star,class,speed,power,attack,defense,health,skill,effects,passives,types,source,family_bonus,family,image,costume_id,dot_string,total_dot_damage,n_turns,dot_damage_per_turn,max_special_percent,min_special_percent,max_special_stat_percent,min_special_stat_percent
Guardian Lemur,blue,3,Fighter,Average,481,455,491,853,Guardian Armor,"['Recovers 32% health for all allies.', 'All allies get +94% defense against Nature for 4 turns.']",0,['Heal all'],teltoc,"['Bonus for 2/3/4/5 Unique Heroes:', '+5%/+10%/+15%/+20% defense', '+4%/ +6%/ +9%/+13% healing', 'The members of this family have additional perks in the Challenge Festival events.']",guardiansteltoc,https://i.imgur.com/XPlmtwO.jpg,0,,0,0,0.0,32,32,94,94
Ulmer Glass Costume,blue,3,Wizard,Slow,516,552,507,830,Glass Blizzard,"['Deals 156% damage to all enemies.', 'The attack bypasses defensive buffs. (This includes counterattacks.)', 'All enemies get -30% defense for 6 turns.']",['Glass: 60% extra chance to reflect status ailments back to the attacker.'],"['Hit All', 'Bypass', 'Defense Debuff All']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://imgur.com/mdOC2xf.jpg,0,,0,0,0.0,156,156,-30,-30
Bertha,blue,3,Wizard,Slow,505,543,510,771,Sewing Back Together,"['All allies regenerate 425 HP over 5 turns.', 'Each defeated ally has a 35% chance to get revived with 25% HP.', 'All ailments affecting attack, defense and mana generation on all allies are transformed into matching undispellable buffs. (Transform cannot be blocked by status effects, family effects or passives. Only status ailments that are dispellable can be transformed. Transformed effects: Attack status ailments are transformed into +40% attack buff for 4 turns. Defense status ailments are transformed into +40% defense buff for 4 turns. Mana generation status ailments are transformed into +40% mana generation buff for 4 turns.)']","['Flight Momentum: If this character has any amount of Flight Momentum, they receive:', ' * Up to +35% mana generation.', ' * Up to +25% chance to dodge.', ' * The effects diminish the less Flight Momentum character has.', 'Weaker Mega Minions: Enemy Mega Minions have -75% HP.']","['HoT All', 'Reviver', 'Replace Ailments All']",magic,"['Heroes of this family have Flight Momentum.', ' * Hero start with full Flight Momentum.', ' * At the end of each turn and when taking damage the hero loses a small amount of Flight Momentum.', ' * When casting their Special Skill, hero gains Flight Momentum.', ' * Slower heroes gain increased amount of Flight Momentum.']",magiccarpet,https://imgur.com/qorWERP.jpg,0,,0,0,0.0,35,25,40,40
Valen,blue,3,Fighter,Fast,442,479,411,679,Chilling Slash,"['Deals 300% damage to the target.', 'The target gets -34% defense for 6 turns.']",0,"['Hit 1', 'Defense Debuff 1']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/8iWG7cB.jpg,0,,0,0,0.0,300,300,-34,-34
Valen C,blue,3,Rogue,Fast,465,488,443,757,Thrilling Clash,"['Deals 335% damage to the target.', 'The caster getts +54% attack for 6 turns.']",0,"['Hit 1', 'Attack Buff Self']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/V2ztXVp.jpg,1,,0,0,0.0,335,335,54,54
Valen C2,blue,3,Fighter,Fast,503,542,480,819,Toon Slash,"['Deals 330% damage to the target.', 'The target gets -28% defense for 6 turns.', 'Deals extra damage against Fire.']","['Toon: 75% extra chance to resist all status ailments, mana reductions and buff dispels.']","['Hit 1', 'Defense Debuff 1']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/ARB96xu.jpg,2,,0,0,0.0,330,330,-28,-28
Planchet,blue,3,Fighter,Fast,486,517,453,811,Piercing Practice Slash,"['Destroys all Minions from the target.', 'Deals 385% damage to the target.', 'The caster regenerates 243 HP over 3 turns.']","['Damage on Special Skill and Cover Damage: When this character receives damage from Special Skills or in place of a character in Cover, there’s a 60% chance to deal 20% of the received damage on all enemies.']","['Minion Destroyer 1', 'Hit 1', 'Self HoT']",musketeer,"['Bonus for 1/2/3 Heroes:', '50%/75%/100% chance to give Cover to a random ally for 3 turns when this character casts their Special Skill.', 'While in Cover, the ally takes no damage from Special Skill attacks or normal attacks. This character takes 60% / 50% / 40% of the damage that would by received by the character in Cover.', 'This effect can’t be dispelled, but ends when this character is defeated. Characters can only give cover to one ally at a time.', 'The members of this family have additional perks in the Brave Musketeers event.']",musketeer,https://i.imgur.com/Hw45iGe.jpg,0,,0,0,0.0,385,385,0,0
Jarvur,blue,3,Druid,Fast,466,500,422,775,Jab and Hook,"['Deals 285% damage to the target.', 'Stack (Max: 10): The caster gets +10% attack.']",0,"['Hit 1', 'Stacking']",season3,"['Bonus for 1/2/3 Unique Heroes:', 'All enemies received 22/37/64 Poison damage for as long as a Svartalfheim ally has low health. This effect cannot be dispelled.']",svartalfheim,https://i.imgur.com/eZV4meS.jpg,0,,0,0,0.0,285,285,10,10
Helo,blue,3,Druid,Average,478,457,505,799,Healthiest Catch,"['Recovers 32% health for all allies.', 'Cleanses status ailments from all allies.']",['Increase Buff Duration: Duration of the first 3 buff this hero receives  from Special Skills is increased by 1 turn.'],"['Heal All', 'Cleanse All']",season4,"['Bonus for 1/2/3/4/5 Unique Heroes:', '20%/24%/28%/32%/36% chance to spawn an Underwild Gem on the board when this Hero casts their Special Skill.', 'The Underwild Gems deal 50/35/25 (5*/4*/3*) damage to a random enemy each turn until it is matched.', 'Underwild Gems can only spawn on regular shields that match the element of this Hero.']",underwild,https://i.imgur.com/e1OFOms.jpg,0,,0,0,0.0,32,32,0,0
Helo C,blue,3,Paladin,Average,488,466,524,814,Fishiest Pastry,"['All allies regenerate 411 HP over 3 turns.', 'Cleanses status ailments from all allies.']",['Increase Buff Duration: Duration of the first 3 buff this hero receives  from Special Skills is increased by 1 turn.'],"['HoT', 'Cleanser']",season4,"['Bonus for 1/2/3/4/5 Unique Heroes:', '20%/24%/28%/32%/36% chance to spawn an Underwild Gem on the board when this Hero casts their Special Skill.', 'The Underwild Gems deal 50/35/25 (5*/4*/3*) damage to a random enemy each turn until it is matched.', 'Underwild Gems can only spawn on regular shields that match the element of this Hero.']",underwild,https://i.imgur.com/c9F3Wjn.jpg,1,,0,0,0.0,0,0,0,0
