name,color,star,class,speed,power,attack,defense,health,skill,effects,passives,types,source,family_bonus,family,image,costume_id,dot_string,total_dot_damage,n_turns,dot_damage_per_turn,max_special_percent,min_special_percent,max_special_stat_percent,min_special_stat_percent,Title,Costume,Museum,Element,Rarity,Origin,Family,Release date,Class,Mana Speed,Special Skill,Passive #1,Passive #2,Passive #3,Passive #CB1,Passive #CB2,AetherPower,Max level: Attack,Max level: Defense,Max level: Health,Max level: Power,Limit Break #1: Attack,Limit Break #1: Defense,Limit Break #1: Health,Limit Break #1: Power,Limit Break #2: Attack,Limit Break #2: Defense,Limit Break #2: Health,Limit Break #2: Power,Mana Bonus CB1,Max level CB1: Attack,Max level CB1: Defense,Max level CB1: Health,Max level CB1: Power,Limit Break CB1 #1: Attack,Limit Break CB1 #1: Defense,Limit Break CB1 #1: Health,Limit Break CB1 #1: Power,Limit Break CB1 #2: Attack,Limit Break CB1 #2: Defense,Limit Break CB1 #2: Health,Limit Break CB1 #2: Power,Mana Bonus CB2,Max level CB2: Attack,Max level CB2: Defense,Max level CB2: Health,Max level CB2: Power,Limit Break CB2 #1: Attack,Limit Break CB2 #1: Defense,Limit Break CB2 #1: Health,Limit Break CB2 #1: Power,Limit Break CB2 #2: Attack,Limit Break CB2 #2: Defense,Limit Break CB2 #2: Health,Limit Break CB2 #2: Power,Mana Bonus CB3,Max level CB3: Attack,Max level CB3: Defense,Max level CB3: Health,Max level CB3: Power,Limit Break CB3 #1: Attack,Limit Break CB3 #1: Defense,Limit Break CB3 #1: Health,Limit Break CB3 #1: Power,Limit Break CB3 #2: Attack,Limit Break CB3 #2: Defense,Limit Break CB3 #2: Health,Limit Break CB3 #2: Power,Mana Bonus CB4,Max level CB4: Attack,Max level CB4: Defense,Max level CB4: Health,Max level CB4: Power,Limit Break CB4 #1: Attack,Limit Break CB4 #1: Defense,Limit Break CB4 #1: Health,Limit Break CB4 #1: Power,Limit Break CB4 #2: Attack,Limit Break CB4 #2: Defense,Limit Break CB4 #2: Health,Limit Break CB4 #2: Power
Shar'Khai,purple,4,Paladin,Changing Tides,688,650,705,1279,Critical Tactics,"['Special Skill need consecutive uses to reach full power, the following order:', '1st:', ' * All allies get +80% normal attack for 5 turns. The normal attack is increased by 20% each turn. This effect can be active in addition to effects that alter attack in general. Normal attacks can have a total maximum of +160% increased power while this effect is active.', ' * All allies get +20% critical chance for 5 turns.', '2nd:', ' * All allies get +80% normal attack for 5 turns. The normal attack is increased by 20% each turn. This effect can be active in addition to effects that alter attack in general. Normal attacks can have a total maximum of +160% increased power while this effect is active.', ' * All allies get +35% critical chance for 5 turns.']","[""'Effects on Special Skill: 50% chance to perform the following actions when this character casts their Special Skill\n  * Deals 80% damage to all enemies.\n  * The caster gets +19% mana generation for 2 turns.'""]","['Titan Attack Buff', 'Crit Buff']",untoldtales,"['Bonus for 1/2 Unique Heroes:', '50%/75% chance to cast -10% mana generation for 3 turns on an enemy who deals Special Skill damage to this character. If the enemy’s Special Skill defeats this character, the chance is 75%/100%.', 'Related Family Bonus: Hero is related to the Atlantis Family.', 'Hero receives the family bonus of a related family when in team with at least 1 related hero. Bonus for 1/2/3/4/5 heroes: +5%/+10%/+15%/+20%/+25% defense.', 'The members of this family have additional perks in Untold Tales stages.']",NightmaresofAtlantis,https://i.imgur.com/pCqXNHO.jpg,0,,0,0,0.0,20,20,160,20,Great Betrayer,,861.0,Dark,4,Untold Tales 1,Nightmares of Atlantis Family,2023-06-07T07:00:00,Paladin,Changing Tides,Critical Tactics,Effects on Special Skill,,,,,Defense Up,650,705,1279,688,706.0,766.0,1390.0,741.0,819.0,888.0,1611.0,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoggo,purple,4,Druid,Average,712,711,701,1300,Lantern of Insanity,"['Deals 250% damage to all and inflicts 10 Insanity on them.', 'All enemies are immune to new status effect buffs for 4 turns.', 'Inflicts 55 Insanity on the caster.']",0,"['Hit All', 'Insanity', 'Buff Immunity', 'Self Insanity']",shadow,"['Bonus for 1 / 2 / 3 Heroes:', '* +20% / +30% / +40% defense', '* +20% / +30% / +40% health']",cultist,https://i.imgur.com/tl6HZEf.jpg,0,,0,0,0.0,250,250,0,0,Shapeshifting Guide,,859.0,Dark,4,Shadow Quest,Cultist Family,2025-01-09T07:00:00,Druid,Average,Lantern of Insanity,,,,,,Defense Up,711,701,1300,712,773.0,761.0,1413.0,766.0,896.0,883.0,1638.0,875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahhotep,purple,4,Rogue,Average,683,692,658,1232,Mummy Slash,"['Deals 340% damage to the target and minor damage to nearby enemies.', 'If the target is defeated in the next 3 turns, all caster’s allies get +20 mana.']",['Effects on Special Skill: 60% chance to perform the following actions when this character casts their Special Skill\n * Deals 70% damage to all enemies.\n * Dispels the latest dispellable buff from enemies.'],['Hit 3'],Season5,"['Bonus for 1/2 Unique Heroes:', '50% / 75% chance to cast -24% defense for 2 turns and 196/146/114 (5*/4*/3*) Water damage over 2 turns on an enemy who deals Special Skill damage to this character.', 'If the enemy’s Special Skill defeats this character, the chance is 75%/100%', 'The members of this family have additional perks in Season V stages']",Moon,https://i.imgur.com/MLXGUOi.jpg,0,,0,0,0.0,340,340,0,0,Mummy Warrior,0.0,855.0,Dark,4,Season V,Moon Family,2022-04-21T07:00:00,Rogue,Average,Mummy Slash,Effects on Special Skill,,,,,Revive,692,658,1232,683,752.0,715.0,1339.0,735.0,872.0,829.0,1552.0,839.0,1%,705.0,671.0,1281.0,698.0,767.0,729.0,1392.0,752.0,889.0,845.0,1614.0,858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahhotep C,purple,4,Fighter,Average,699,660,705,1326,Mummy Strike,"['Deals 370% damage to the target and minor damage to nearby enemies.', 'If the target is defeated in the next 3 turns, all caster’s allies get +15% mana.']","['Effects on Special Skill: 60% chance to perform the following actions when this character casts their Special Skill\n * Deals 70% damage to all enemies.\n * Dispels the latest dispellable buff from enemies.', 'Extra Chance for Effects On Special Skill: When this character casts their Special Skill, any of their Passive Skills that grant extra effects on cast have 3 chances to activate.', 'Mana on Status Ailment Received: This character gains 5% mana each time they receive a status ailment or negative stack.']",['Hit 3'],Season5,"['Bonus for 1/2 Unique Heroes:', '50% / 75% chance to cast -24% defense for 2 turns and 196/146/114 (5*/4*/3*) Water damage over 2 turns on an enemy who deals Special Skill damage to this character.', 'If the enemy’s Special Skill defeats this character, the chance is 75%/100%', 'The members of this family have additional perks in Season V stages']",Moon,https://i.imgur.com/ph6Gczr.jpg,1,,0,0,0.0,370,370,15,15,Mummy Champion,1.0,856.0,Dark,4,Season V,Moon Family,2024-07-13T07:00:00,Fighter,Average,Mummy Strike,Effects on Special Skill,,,Mana on Status Ailment Received,Extra Chance for Effects On Special Skill,Boosted Regen,648,692,1275,684,704.0,752.0,1385.0,735.0,816.0,872.0,1606.0,839.0,1%,660.0,705.0,1326.0,699.0,718.0,767.0,1440.0,752.0,832.0,889.0,1670.0,858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprian,purple,4,Paladin,Average,642,563,605,1362,Perfect Riposte,['The caster and nearby allies counterattack with 125% of the damage received for 5 turns'],0,['Counterattack'],Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/wpGUug5.jpg,0,,0,0,0.0,125,125,0,0,Deathbound Lord,0.0,862.0,Dark,4,Classic,Classic Family,,Paladin,Average,Perfect Riposte,,,,,,Counterattack,563,605,1362,642,611.0,658.0,1480.0,690.0,709.0,762.0,1715.0,786.0,5%,602.0,647.0,1511.0,688.0,653.0,704.0,1642.0,740.0,758.0,815.0,1903.0,844.0,5%,647.0,695.0,1634.0,734.0,702.0,756.0,1776.0,791.0,815.0,876.0,2058.0,903.0,5%,658.0,707.0,1661.0,745.0,714.0,769.0,1805.0,802.0,829.0,891.0,2092.0,917.0,,,,,,,,,,,,,
Cyprian C,purple,4,Sorcerer,Average,679,555,698,1460,Deadly Riposte,['All allies counterattack with 60% of the damage received for 4 turns'],0,['Counterattack'],Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/sJK7XXq.jpg,1,,0,0,0.0,60,60,0,0,Deathless Prince,1.0,863.0,Dark,4,Classic,Classic Family,2021-01-18T07:00:00,Sorcerer,Average,Deadly Riposte,,,,,,Damage Reduction,529,665,1328,642,574.0,722.0,1443.0,690.0,666.0,837.0,1673.0,786.0,5%,566.0,711.0,1474.0,688.0,614.0,772.0,1601.0,740.0,712.0,895.0,1857.0,844.0,5%,608.0,764.0,1593.0,734.0,660.0,830.0,1731.0,790.0,765.0,962.0,2007.0,903.0,5%,618.0,778.0,1620.0,745.0,671.0,844.0,1760.0,802.0,779.0,979.0,2041.0,917.0,,,,,,,,,,,,,
Cyprian C2,purple,4,Druid,Average,735,658,732,1534,Precise Riposte,"['The caster and nearby allies counterattack with 80% of the damage received for 4 turns.', 'The caster and nearby allies regenerate a moderate amount of mana for each counterattack for 4 turns. The effect gets diminished for consecutive  activations during the same turn.', 'The caster and nearby allies reduce all received damage by -35% for 4 turns']",0,"['Counterattack', 'Damage Reduction']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/oDvjeQX.jpg,2,,0,0,0.0,80,80,-35,-35,Deathbound Reveller,2.0,864.0,Dark,4,Classic,Classic Family,2023-04-17T07:00:00,Druid,Average,Precise Riposte,,,,,,Regen,573,637,1279,642,623.0,692.0,1390.0,691.0,722.0,803.0,1611.0,788.0,5%,613.0,681.0,1419.0,688.0,666.0,740.0,1542.0,741.0,772.0,859.0,1788.0,846.0,5%,658.0,732.0,1534.0,735.0,716.0,795.0,1668.0,791.0,830.0,923.0,1933.0,904.0,5%,670.0,745.0,1560.0,746.0,728.0,809.0,1695.0,803.0,844.0,939.0,1965.0,918.0,,,,,,,,,,,,,
Cyprian C3,purple,4,Paladin,Average,747,656,703,1687,Toontastic Riposte,['The caster and nearby allies counterattack with 125% of the damage received for 5 turns. This status effect is undispellable and lasts 2 turns longer on Dark characters.'],"['Toon: 75% extra chance to resist all status ailments, mana reductions and buff dispels.']",['Counterattack'],Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/NlALPlg.jpg,3,,0,0,0.0,125,125,0,0,Deathbound Toon,3.0,865.0,Dark,4,Classic,Classic Family,2024-04-08T07:00:00,Paladin,Average,Toontastic Riposte,Toon,,,,,Counterattack,561,601,1383,643,609.0,653.0,1503.0,691.0,706.0,757.0,1742.0,787.0,5%,600.0,643.0,1535.0,689.0,651.0,698.0,1668.0,741.0,755.0,809.0,1933.0,846.0,5%,645.0,691.0,1659.0,736.0,700.0,750.0,1803.0,792.0,811.0,870.0,2090.0,905.0,5%,656.0,703.0,1687.0,747.0,712.0,764.0,1833.0,804.0,826.0,885.0,2125.0,919.0,,,,,,,,,,,,,
Merlin,purple,4,Wizard,Average,645,682,660,975,Arcane Blast,"['Deals 220% damage to the target', 'The more mana the enemies have,the more damage they will receive, up to 250%', 'The target automatically casts Mindless Attack on a random ally when mana is full at the start of a turn during 3 turns.']",0,"['Hit 1', 'Mindless attack']",Avalon,"['Bonus for 2/3/4/5 Unique Heroes:', '+5%/+10%/+15%/+20% critical chance', '+4%/+6%/+9%/+13% healing', 'The members of this family have additional perks in the Challenge Festival events.']",Avalon,https://i.imgur.com/z8mBTci.jpg,0,,0,0,0.0,250,220,0,0,Wizard of Avalon,0.0,839.0,Dark,4,Challenge Festival I,Avalon Family,,Wizard,Average,Arcane Blast,,,,,,Ailment Immunity,682,660,975,645,741.0,718.0,1059.0,693.0,859.0,832.0,1228.0,790.0,5%,716.0,693.0,1072.0,679.0,778.0,753.0,1164.0,731.0,901.0,873.0,1350.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merlin C,purple,4,Cleric,Average,679,746,633,1118,Pulsar Blast,"['Deals 210% damage to the target and nearby enemies.', 'The more mana the enemies have, the more damage they will receive, up to 270%.', 'The target automatically casts Mindless Attack on a random ally when mana is full at the start of a turn during 3 turns']",0,"['Hit 3', 'Mindless attack']",Avalon,"['Bonus for 2/3/4/5 Unique Heroes:', '+5%/+10%/+15%/+20% critical chance', '+4%/+6%/+9%/+13% healing', 'The members of this family have additional perks in the Challenge Festival events.']",Avalon,https://i.imgur.com/VwvFKmH.jpg,1,,0,0,0.0,270,210,0,0,Astromancer of Avalon,1.0,840.0,Dark,4,Challenge Festival I,Avalon Family,2023-04-20T07:00:00,Cleric,Average,Pulsar Blast,,,,,,Damage Reduction,711,603,1017,645,773.0,655.0,1106.0,693.0,896.0,760.0,1282.0,790.0,5%,746.0,633.0,1118.0,679.0,811.0,687.0,1216.0,731.0,940.0,798.0,1410.0,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonecleave,purple,4,Barbarian,Average,661,726,622,1056,Dire Ghost,"['Removes all status effects and stacks from the caster. Removes even status effects and stacks that are otherwise undispellable or uncleansable.', 'The caster shifts into Dire Ghost form.', 'While in Dire Ghost form, the caster automatically deals 175% damage against a random enemy each turn.', ""While in Dire Ghost form, the caster can't gain mana and can't be healed by Special Skills, but is immune to normal attacks, Special Skill attacks,  status effects and stacks except the damage from enemies whose element is  strong against the caster."", 'Dire Ghost form lasts for 4 turns.']",0,['Ghost'],Season3,"['Bonus for 1/2/3 Unique Heroes:', 'Deals 25%/50%/100% damage to all enemies when a Helheim Hero is defeated.']",Helheim,https://i.imgur.com/7VLylDF.jpg,0,,0,0,0.0,175,175,0,0,Relentless Draugr,,854.0,Dark,4,Season III,Helheim Realm,,Barbarian,Average,Dire Ghost,,,,,,Rage,726,622,1056,661,789.0,676.0,1147.0,711.0,915.0,784.0,1330.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
